,suite_name,suite_id,exp_name,run,rep,host_type,host_idx,factor_columns,source_file,cmd,cpsnark,model,num_verifier_reps,pc_type,$CMD$.small,Prover time,Verifier time,Proof size,$CMD$.medium,$CMD$.large,file,error
0,cplink,1725423229,exp_kzg,2,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/cplink/code/src/bin/test.zsh dlrm kzg cp_link 5 /home/ubuntu/doe-suite/osiris_nku/cplink/code,cp_link,dlrm,5,kzg,[{'main': '/home/ubuntu/doe-suite/osiris_nku/cplink/code/src/bin/test.zsh dlrm kzg cp_link 5 /home/ubuntu/doe-suite/osiris_nku/cplink/code'}],182.460153548s,"[149.725913ms, 149.641334ms, 149.567285ms, 149.401456ms, 149.459166ms]",3808,,,,
1,cplink,1725423229,exp_kzg,1,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/cplink/code/src/bin/test.zsh resnet18 kzg cp_link 5 /home/ubuntu/doe-suite/osiris_nku/cplink/code,cp_link,resnet18,5,kzg,[{'main': '/home/ubuntu/doe-suite/osiris_nku/cplink/code/src/bin/test.zsh resnet18 kzg cp_link 5 /home/ubuntu/doe-suite/osiris_nku/cplink/code'}],290.331166347s,"[132.325987ms, 132.092038ms, 131.450319ms, 132.095828ms, 131.424085ms]",14432,,,,
2,cplink,1725423229,exp_kzg,0,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/cplink/code/src/bin/test.zsh mnist kzg cp_link 5 /home/ubuntu/doe-suite/osiris_nku/cplink/code,cp_link,mnist,5,kzg,[{'main': '/home/ubuntu/doe-suite/osiris_nku/cplink/code/src/bin/test.zsh mnist kzg cp_link 5 /home/ubuntu/doe-suite/osiris_nku/cplink/code'}],37.493517555s,"[64.151156ms, 63.957985ms, 64.131341ms, 63.549663ms, 63.8112ms]",9280,,,,
0,cplink,1725423229,exp_kzg_gpt2_cp_link,0,0,large,0,[],stderr.log,/home/ubuntu/doe-suite/osiris_nku/cplink/code/src/bin/test.zsh gpt2 kzg cp_link 5 /home/ubuntu/doe-suite/osiris_nku/cplink/code,cp_link,gpt2,5,kzg,,,,,,[{'main': '/home/ubuntu/doe-suite/osiris_nku/cplink/code/src/bin/test.zsh gpt2 kzg cp_link 5 /home/ubuntu/doe-suite/osiris_nku/cplink/code'}],/Users/nikolaj4o/Desktop/rust_stuff/zkmlgpt/doe-suite-results/cplink_1725423229/exp_kzg_gpt2_cp_link/run_0/rep_0/large/host_0/stderr.log,missing expected file: output.csv
0,cplink,1725423229,exp_kzg_vgg_others,0,0,large,0,['cpsnark'],output.csv,/home/ubuntu/doe-suite/osiris_nku/cplink/code/src/bin/test.zsh vgg kzg cp_link 5 /home/ubuntu/doe-suite/osiris_nku/cplink/code,cp_link,vgg,5,kzg,,4561.018073829s,"[3.024037045s, 3.021772034s, 3.022052536s, 3.020209787s, 3.020815134s]",10624,,[{'main': '/home/ubuntu/doe-suite/osiris_nku/cplink/code/src/bin/test.zsh vgg kzg cp_link 5 /home/ubuntu/doe-suite/osiris_nku/cplink/code'}],,
0,model-vgg,1725388515,exp_kzg_vgg_others,2,0,large,0,['cpsnark'],output.csv,/home/ubuntu/doe-suite/osiris_nku/model-vgg/code/src/bin/test.zsh vgg kzg cp_link+ 5 /home/ubuntu/doe-suite/osiris_nku/model-vgg/code,cp_link+,vgg,5,kzg,,624.417130068s,"[48.301335ms, 46.428284ms, 48.77865ms, 47.842897ms, 48.511859ms]",16288,,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-vgg/code/src/bin/test.zsh vgg kzg cp_link+ 5 /home/ubuntu/doe-suite/osiris_nku/model-vgg/code'}],,
1,model-vgg,1725388515,exp_kzg_vgg_others,1,0,large,0,['cpsnark'],output.csv,/home/ubuntu/doe-suite/osiris_nku/model-vgg/code/src/bin/test.zsh vgg kzg poly 5 /home/ubuntu/doe-suite/osiris_nku/model-vgg/code,poly,vgg,5,kzg,,665.215431428s,"[15.831495ms, 13.245431ms, 13.201778ms, 12.590126ms, 13.163085ms]",16704,,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-vgg/code/src/bin/test.zsh vgg kzg poly 5 /home/ubuntu/doe-suite/osiris_nku/model-vgg/code'}],,
2,model-vgg,1725388515,exp_kzg_vgg_others,0,0,large,0,['cpsnark'],output.csv,/home/ubuntu/doe-suite/osiris_nku/model-vgg/code/src/bin/test.zsh vgg kzg no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-vgg/code,no_com,vgg,5,kzg,,605.267291216s,"[11.759202ms, 12.685789ms, 11.78698ms, 12.625316ms, 10.886899ms]",15776,,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-vgg/code/src/bin/test.zsh vgg kzg no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-vgg/code'}],,
0,model-vgg,1725388515,exp_kzg_vgg_poseidon,0,0,large,0,[],output.csv,/home/ubuntu/doe-suite/osiris_nku/model-vgg/code/src/bin/test.zsh vgg kzg poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-vgg/code,poseidon,vgg,5,kzg,,6951.271649913s,"[14.440595ms, 12.326181ms, 11.924905ms, 12.987676ms, 11.336506ms]",15392,,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-vgg/code/src/bin/test.zsh vgg kzg poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-vgg/code'}],,
0,model-vgg,1725388515,exp_ipa_vgg_others,1,0,large,0,['cpsnark'],output.csv,/home/ubuntu/doe-suite/osiris_nku/model-vgg/code/src/bin/test.zsh vgg ipa poly 5 /home/ubuntu/doe-suite/osiris_nku/model-vgg/code,poly,vgg,5,ipa,,854.19860133s,"[31.090742333s, 30.842331919s, 30.830101965s, 30.893345527s, 30.840990162s]",18272,,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-vgg/code/src/bin/test.zsh vgg ipa poly 5 /home/ubuntu/doe-suite/osiris_nku/model-vgg/code'}],,
1,model-vgg,1725388515,exp_ipa_vgg_others,0,0,large,0,['cpsnark'],output.csv,/home/ubuntu/doe-suite/osiris_nku/model-vgg/code/src/bin/test.zsh vgg ipa no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-vgg/code,no_com,vgg,5,ipa,,616.857348966s,"[982.140543ms, 838.584608ms, 842.73535ms, 840.524292ms, 842.011519ms]",17408,,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-vgg/code/src/bin/test.zsh vgg ipa no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-vgg/code'}],,
0,model-vgg,1725388515,exp_ipa_vgg_poseidon,0,0,large,0,[],output.csv,/home/ubuntu/doe-suite/osiris_nku/model-vgg/code/src/bin/test.zsh vgg ipa poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-vgg/code,poseidon,vgg,5,ipa,,7120.925729929s,"[11.18337754s, 9.398805587s, 9.430448636s, 9.396094112s, 9.407035274s]",17248,,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-vgg/code/src/bin/test.zsh vgg ipa poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-vgg/code'}],,
0,poly-ipa,1725483589,exp_poly_ipa_mobilenet,0,0,medium,0,[],output.csv,/home/ubuntu/doe-suite/osiris_nku/poly-ipa/code/src/bin/test.zsh mobilenet ipa poly 5 /home/ubuntu/doe-suite/osiris_nku/poly-ipa/code,poly,mobilenet,5,ipa,,1606.736370482s,"[3.681064499s, 3.664668565s, 3.670877038s, 3.663124285s, 3.668998048s]",21408,[{'main': '/home/ubuntu/doe-suite/osiris_nku/poly-ipa/code/src/bin/test.zsh mobilenet ipa poly 5 /home/ubuntu/doe-suite/osiris_nku/poly-ipa/code'}],,,
0,poly-ipa,1725483589,exp_poly_ipa_diffusion,0,0,large,0,[],output.csv,/home/ubuntu/doe-suite/osiris_nku/poly-ipa/code/src/bin/test.zsh diffusion ipa poly 5 /home/ubuntu/doe-suite/osiris_nku/poly-ipa/code,poly,diffusion,5,ipa,,6127.776357804s,"[5.932462881s, 5.673616071s, 6.075909876s, 6.112000632s, 5.658704332s]",36416,,[{'main': '/home/ubuntu/doe-suite/osiris_nku/poly-ipa/code/src/bin/test.zsh diffusion ipa poly 5 /home/ubuntu/doe-suite/osiris_nku/poly-ipa/code'}],,
