,suite_name,suite_id,exp_name,run,host_type,model,cpsnark,pc_type,prover_time_sec,proof_size_bytes,mean(verifier_time_sec),stddev(verifier_time_sec),prover_time_sec_factor_vs_nocom (no_com=1),prover_time_sec_factor_vs_kzg (kzg=1),mean(verifier_time_sec)_factor_vs_nocom (no_com=1),mean(verifier_time_sec)_factor_vs_kzg (kzg=1),proof_size_bytes_factor_vs_nocom (no_com=1),proof_size_bytes_factor_vs_kzg (kzg=1)
37,cplink,1725423229,exp_kzg,0,small,mnist,cp_link,kzg,37.493517555,9280,0.063920269,0.0002492626860392462,6.693719439196482,1.0,8.45782268826264,1.0,1.0,1.0
38,model-mobilenet,1725371439,exp_kzg_mobilenet_others,0,medium,mobilenet,no_com,kzg,1514.588682766,17664,0.0168178966,0.00033355215325837743,1.0,1.0,1.0,1.0,1.0,1.0
39,model-small,1725369940,exp_ipa,4,small,resnet18,poseidon,ipa,312.383796367,17792,0.72924205,0.0012345551700740083,3.5051687556480973,0.915353355322443,1.9771760110643155,71.74173759330068,1.1209677419354838,1.094488188976378
40,model-small,1725369940,exp_kzg,4,small,resnet18,no_com,kzg,98.315834755,14432,0.0093208156,0.00037027939808582347,1.0,1.0,1.0,1.0,1.0,1.0
41,model-vgg,1725388515,exp_kzg_vgg_others,0,large,vgg,no_com,kzg,605.267291216,15776,0.0119488372,0.0007400326893561523,1.0,1.0,1.0,1.0,1.0,1.0
42,model-small,1725369940,exp_kzg,3,small,mnist,poly,kzg,5.937644264,9760,0.0079181136,0.00037551066172919804,1.0600479076060991,1.0,1.047711499060196,1.0,1.0517241379310345,1.0
43,model-small,1725369940,exp_ipa,3,small,resnet18,no_com,ipa,89.120900631,15872,0.3688301122,0.0006362285028165477,1.0,0.9064755525199629,1.0,39.570583522755236,1.0,1.099778270509978
44,model-small,1725369940,exp_ipa,6,small,dlrm,no_com,ipa,39.803228983,6688,0.3531920488,0.034620788624776015,1.0,0.9833477465945154,1.0,59.55454437201775,1.0,1.274390243902439
45,model-small,1725369940,exp_kzg,10,small,dlrm,poseidon,kzg,459.972478527,9632,0.0079875568,0.00027709908958565665,11.363723793569687,1.0,1.3468460218338079,1.0,1.8353658536585367,1.0
46,model-small,1725369940,exp_kzg,11,small,dlrm,poly,kzg,47.054157409,5856,0.006214849000000001,8.182045202453979e-05,1.1624835682503547,1.0,1.047935540433067,1.0,1.1158536585365855,1.0
47,model-small,1725369940,exp_ipa,1,small,mnist,poseidon,ipa,88.49400642,13664,0.378209296,0.00431601463066582,17.19094653069075,0.9119878652126533,10.616608944648775,43.412578204138555,1.305810397553517,1.120734908136483
49,model-small,1725369940,exp_kzg,6,small,resnet18,poseidon,kzg,341.27126377,16256,0.0101648228,0.0002456349964595847,3.471172925708635,1.0,1.0905507882808023,1.0,1.1263858093126387,1.0
50,model-small,1725369940,exp_ipa,0,small,mnist,no_com,ipa,5.147709945,10464,0.0356243032,0.00021115722222955018,1.0,0.9190208967628979,1.0,4.713747995311274,1.0,1.1275862068965516
51,model-small,1725369940,exp_kzg,1,small,mnist,cp_link+,kzg,5.658096725,9504,0.016045447,9.713945450999871e-05,1.0101402724198587,1.0,2.1231066108297467,1.0,1.0241379310344827,1.0
52,model-small,1725369940,exp_ipa,7,small,dlrm,poseidon,ipa,435.667326477,11232,1.4394673766,0.0019124914547954904,10.945527225016694,0.9471595515283132,4.075593948082107,180.21372650520618,1.6794258373205742,1.1661129568106312
53,model-small,1725369940,exp_kzg,8,small,dlrm,no_com,kzg,40.477266685,5248,0.0059305642,0.00010103022444892414,1.0,1.0,1.0,1.0,1.0,1.0
54,model-small,1725369940,exp_kzg,9,small,dlrm,cp_link+,kzg,47.710593296,5568,0.0237916762,0.0002244809589501969,1.178700964847523,1.0,4.01170536186085,1.0,1.0609756097560976,1.0
55,model-small,1725369940,exp_kzg,0,small,mnist,no_com,kzg,5.601298037,9280,0.0075575324,0.0002689341320477928,1.0,1.0,1.0,1.0,1.0,1.0
56,model-small,1725369940,exp_kzg,7,small,resnet18,poly,kzg,102.30182586,14912,0.009538132,0.00039375741597079785,1.0405427174059292,1.0,1.0233151699728937,1.0,1.033259423503326,1.0
